Project Name,Test-Run,Test-Case,Status,TC-Defect
OmniStack,PSI7 Sprint 2 - Stretch Cluster,"OMNI-629: Verify that I can view backups that may not survive a zone failure, so that I can better manage my stretched cluster",Passed,NA
OmniStack,PSI7 Sprint 2 - Stretch Cluster,"OMNI-2548: Use svt-zone-delete to delete an availability zone, so that I can re-configure my system",Passed,NA
OmniStack,PSI7 Sprint 2 - Stretch Cluster,"OMNI-2930: Verify that I can realize administrative assignments of nodes to zones, so that I can configure stretched clusters",Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-38929_003-API GET all certificates filter by storename=EXTERNAL,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-38929_008-CLI GET certificates while more than 100 certificates data in DB,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-46692_004-verify user account caches (local Administrator login),Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-33800_001-Verify service creates java key store files at creation event-deploy,Blocked,NA
OmniStack,Security-PSI13-Sprint4,OMNI-46692_006-verify impersonate caches (dsv-federation-join),Passed,NA
OmniStack,Security-PSI13-Sprint4,"OMNI-38929_014-CLI GET certificates with challenging subjects (for example, HTML code in CN)",Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-38929_019-Administrator user can GET all certificates,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-38929_002-CLI GET all certificates successfully,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-33800_006-Verify service updates java key store files after trigger event-cert removed,Blocked,NA
OmniStack,Security-PSI13-Sprint4,"OMNI-38929_016-CLI GET certificates with challenging extensions (for example, large number of SAN entries)",Failed,
OmniStack,Security-PSI13-Sprint4,"OMNI-38929_016-CLI GET certificates with challenging extensions (for example, large number of SAN entries)",Failed,
OmniStack,Security-PSI13-Sprint4,OMNI-46688-001_JAuth Linked Mode vCenter - home vCenter unreachable,Blocked,NA
OmniStack,Security-PSI13-Sprint4,OMNI-33800_008-Verify that Java Key Store directory has correct ownership/permissions-caservice/755,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-33800_012-Verify that adding a certificate while secondary OVC is offline eventually gets replicated,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-33800_011-Verify that adding a certificate while postgres service is down fails gracefully with meaningful error,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-19366_004-Display Access History for CLI_last success login svtcli,Failed,
OmniStack,Security-PSI13-Sprint4,OMNI-46692_005-regression domain Administrator login not impacted,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-46692_001-run hyperV sweep test on the custom kit and all tests pass,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-33800_003-Verify service creates java key store files at creation event-upgrade,Blocked,NA
OmniStack,Security-PSI13-Sprint4,OMNI-38929_012-CLI GET certificates while svt-cert-service is STOPPED,Passed,NA
OmniStack,Security-PSI13-Sprint4,"OMNI-38929_013-API GET certificates with challenging subjects (for example, HTML code in CN)",Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-38929_004-CLI GET all certificates filter by storename=EXTERNAL,Failed,OMNI-48138
OmniStack,Security-PSI13-Sprint4,OMNI-38929_004-CLI GET all certificates filter by storename=EXTERNAL,Failed,
OmniStack,Security-PSI13-Sprint4,OMNI-38929_004-CLI GET all certificates filter by storename=EXTERNAL,Failed,
OmniStack,Security-PSI13-Sprint4,OMNI-33800_009-Verify that Java Key Store files have correct ownership/permissions-caservice/644,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-38929_011-API GET certificates while svt-cert-service is STOPPED,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-38929_006-API GET certificates while more than 100 certificates data in DB,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-38929_005-API GET certificates while no certificate data in DB,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-38929_007-CLI GET certificates while no certificate data in DB,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-46692_002-run hyperV regression test on the custom kit,Failed,
OmniStack,Security-PSI13-Sprint4,OMNI-46692_002-run hyperV regression test on the custom kit,Failed,
OmniStack,Security-PSI13-Sprint4,OMNI-46692_002-run hyperV regression test on the custom kit,Failed,
OmniStack,Security-PSI13-Sprint4,"OMNI-38929_018-CLI GET certificates and verify certificate, hash, subject, issuer, serialno in DB",Failed,
OmniStack,Security-PSI13-Sprint4,"OMNI-38929_018-CLI GET certificates and verify certificate, hash, subject, issuer, serialno in DB",Failed,
OmniStack,Security-PSI13-Sprint4,OMNI-46692_009-verify the old machine session cache is cleaned up after expires (no expired one in klist),Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-33800_010-Verify that adding same certificate is detected and not re-added to table,Failed,OMNI-47826
OmniStack,Security-PSI13-Sprint4,OMNI-46692_003-regression EA user login not impacted,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-38929_020-EA(svtcli) user can GET all certificates,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-33800_002-Verify that Java Key Store files are created for all three trust stores after trigger,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-46692_007-verify there's a valid machine session cache/tgt,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-33800_004-Verify service updates java key store files after trigger event-add cert,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-33800_005-Verify service updates java key store files after trigger event-multiple certs added,Failed,OMNI-45275
OmniStack,Security-PSI13-Sprint4,"OMNI-38929_017-API GET certificates and verify certificate, hash, subject, issuer, serialno in DB",Failed,
OmniStack,Security-PSI13-Sprint4,"OMNI-38929_015-API GET certificates with challenging extensions (for example, large number of SAN entries)",Failed,
OmniStack,Security-PSI13-Sprint4,OMNI-46692_008-verify there's a new machine session cache 1 hr before the existing one expires,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-38929_021-Non-admin user can GET all certificates,Passed,NA
OmniStack,Security-PSI13-Sprint4,OMNI-33800_007-Verify service updates java key store files after trigger event-multiple certs removed,Blocked,NA
OmniStack,Security-PSI13-Sprint4,"OMNI-38929_001-API GET all certificates successfully, return HTTP200",Passed,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),"Verify that DI lock will release from the host once user will click ""Cancel"" on Test Host Settings screen.",Untested,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),"Verify that DI lock will release from the host when user navigates to previous few pages using ""Back"" button and return back to ""Test Host Settings"" screen after making some configuration changes.",Untested,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),OMNI-18953-TCS.5,Passed,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),OMNI-18953-TCS.9,Passed,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),OMNI-18953-TCS.3,Passed,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),Verify that deployment validation tests cannot run simultaneously on two instances of Deployment Manager.,Untested,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),Verify that DI lock is released when Deployment Manager shuts down orchestrator by reruning deployment validation.,Untested,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),OMNI-18953-TCS.7,Passed,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),"Verify that DI lock will not be reset, if user continues to deploy host after validation.",Untested,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),OMNI-18953-TCS.4,Passed,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),OMNI-18953-TCS.6,Passed,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),OMNI-18953-TCS.1,Passed,NA
